<DOC1004>	车门很溥，关门声音不如帝豪718好听。</DOC1004>
<DOC2405>	但是在发动机的稳定性上比较,2.4要出色的多.</DOC2405>

<DOC2406>	怕撒特的故障远高于中华且费油，维修保养也贵。</DOC2406>

<DOC2407>	2V比5V的结构简单很多这是事实，排放标准提高了，只是增加了转换器罢了，但排放高了，功率的损失也会增大，这是必然的。</DOC2407>

<DOC2419>	换档手感比起其他车要好上许多。</DOC2419>

<DOC2425>	这样的发动机，真的不能说他差，要看和谁比，和325自然不能比。</DOC2425>

<DOC2426>	这一改还不如新中华，建议华晨立即、马上改改尊驰的前鬼脸。</DOC2426>

<DOC2431>	不能加天窗,后轮毂刹,没EBD没定速巡航,单气囊,空调也不是双区恒温,坐椅不带记忆功能,没10碟CD等,都使它比象大切那样的最好的SUV低了一整个档次,但一钱一分货.</DOC2431>

<DOC2432>	标准型37800元带安全钢梁，比夏利等同价位的车空间大、功能多，款式新。</DOC2432>

<DOC2443>	刹车、密封一般，但总体感觉比桑2000好，特别是底盘和悬挂，感觉非常沉稳、厚重。</DOC2443>

<DOC2446>	新飞度1.5的发动机怠速振动与老飞度相比要略大。</DOC2446>

<DOC2450>	在速腾和宝来之间纠结好久，速腾平台比宝来要高，外形比宝来要大气。</DOC2450>

<DOC2457>	福美来在5万公里正常保养成本费用、燃油消耗成本费用等方面优势相当明显，福美来的养护成本比伊兰特、凯越都低，与小排量的威驰、飞度媲美，这在国内燃油价格持续“升温”的情况下无疑给海马车主吃了一颗定心丸。</DOC2457>

<DOC2476>	一汽佳星-幸福使者采用的是改进之后的多点电喷夏利376qe发动机，百公里耗油量应该在6.5L-8L左右,比QQ百公里8-10L的耗油量低2L左右。</DOC2476>

<DOC2477>	现在的320除了个儿大一点，质量、动力及驾驶感觉还不如318I。</DOC2477>

<DOC2480>	结果是在我们看来不分伯仲，我们感觉BMW四平八稳，帕萨特活泼灵巧，都很好操控，中间提速帕萨特感觉快一些，更直接一些，噪音是帕萨特大，尤其是后座，但AUDI就小多了，高速时发动机的声音BMW大一些，帕萨特的沉闷，BMW的高冗都让人激动。</DOC2480>

<DOC2484>	做工不如速跑3.0,但比速跑2.4好..</DOC2484>

<DOC2488>	君威3.0的后坐明显比帕萨特１．８Ｔ手自一体窄。</DOC2488>

<DOC2494>	3、据说综合技术比夏利先进。</DOC2494>

<DOC2500>	在国内XL和STN是公认最易维修保养的，以广大出租车为证！</DOC2500>

<DOC2504>	幸福使者配置低内饰和面包车一样,价格高,配件好找,铃木品牌赴合一些国人心理,性价比不高,物非所值.</DOC2504>

<DOC2509>	与东方之子相比，中华要卓越得多！</DOC2509>

<DOC2510>	特别提一下他的空调，和传说中的一样，一档绝对够用了，服了！</DOC2510>

<DOC2538>	完全是心里作用,你别和奔驰比,和十几万地车比综合性能中华是最好的,因为没有知名度所以定价低,并不是车不好.怕撒特锁纳塔其实不如中华,但品牌高所以定价高,一件衣服十元没人买,一百元抢,这就是消费误区.</DOC2538>

<DOC2544>	我看过车身宽度是1473mm，只比奥托车宽70mm。</DOC2544>

<DOC2551>	我用该车3个月,跑了4000公里还可以,1.0排量小了点但跑120迈没问题,特别是外行大气比夏力强之万倍,中控锁.</DOC2551>

<DOC2558>	不爽最后，也就M3的动力还行，只有这点比BYDF3强...</DOC2558>

<DOC2562>	虽然福美来精英级促销后的价位在同级车中最低，但配置与其他同级车型的配置相比却有过之而无不及。</DOC2562>

<DOC2566>	宝马3的2001年全世界销售量远远大于捷达4!</DOC2566>

<DOC2574>	家里人也全家否决不要国产车，这时候正好4所有个320豪华M版，价格说实话比当时的325时尚还要贵但是也能接受。</DOC2574>

<DOC2579>	心态放平点吧,买别克商务车质量就比这好的多,一份价钱一份货,这个价位买这个质量的,已经很不错了.</DOC2579>

<DOC2580>	风噪和胎噪也跟咱小三差不多，避震也硬，估计这个价位的车都是这样的吧！</DOC2580>

<DOC2583>	Cd=0.31,说明该车的水平方向的空气动力学性能只与大众车富康接近。</DOC2583>

<DOC2587>	如果一定要给宝宝的空调定个位，仅就空调而言哦，我觉得应该是我开过车型中的中等偏下的水平线上。</DOC2587>

<DOC2593>	对于坑坑洼洼的路面，车子的调教比307的要好，不会很软，也不会肉，适中！</DOC2593>

<DOC2608>	05款捷达车就其性价比整体而言不如“威乐”！</DOC2608>

<DOC2609>	我感觉这车子比q7和卡宴还要炫！</DOC2609>

<DOC2614>	===================================================要死就趁早,不懂营销,不懂市场,2.0AT,2.4AT顶级版连真皮,天窗都没有,价格比东方之子贵多了</DOC2614>

<DOC2626>	现在价位还好，尽管桑3000比红旗便宜，但未必能比红旗好。</DOC2626>

<DOC2630>	（2.0和1.6实际提速至少感觉没有参数上的区别那么大），估计是受4AT变速箱影响，还有就是这个车调教偏舒适和柔和，无论是动力输出还是悬挂调教。</DOC2630>

<DOC2631>	看一看其他1.8升的车价现在是多少,就知道花冠的确定价过高了,就因为花冠价格过高,所以我买了阳光.</DOC2631>

<DOC2632>	浅内饰，感觉不错，比老款6341好。</DOC2632>

<DOC2640>	所以花冠比宝来物有所值!</DOC2640>

<DOC2648>	旗云最基本型都比新捷达豪华型GIF配置高，捷达11.78万元，旗云6.78万元，相差5万元。</DOC2648>

<DOC2654>	后排空间比坐雅力士舒服些。</DOC2654>

<DOC2661>	老款马6在配置方面拥有比新马6更实在一些。　</DOC2661>

<DOC2664>	从外观上看，国产宝马的轮胎与德国宝马相比略显单薄，但依然很美观。</DOC2664>

<DOC2674>	我告诉大家些消息吧，现在已经推出双天窗（一手动一电动，天窗面积国内最大）、GPS、三液晶屏DVD，价铬比GL8同配置的便宜三万多，买家都有大脑，所以在广州的月销量（05.11）已经超越GL8了。</DOC2674>

<DOC2682>	瑞虎的风噪和路噪比普桑强。</DOC2682>

<DOC2689>	从品牌知名度、可靠性、耐用性等角度考虑，福美来只能算是三流车，它与宝来、高尔夫、花冠、通用等，根本不在一个等量级，这也是为什么福美来只好实行低价格战略的原因。</DOC2689>

<DOC2703>	11大灯效果还可以，比c2强，感觉不用换灯，多说一句，我觉得大灯效果其实是大灯设计的角度，和灯泡关系不大。</DOC2703>

<DOC2723>	这车的油耗和朋友的思域差不多。</DOC2723>

<DOC2738>	在发动机盖方面，标致207三厢版与标致206采用了相同的设计。</DOC2738>

<DOC2741>	另外在做工上，说实话跟我们小三差不多档次，至少不觉得比我的风采版要好，跟12款的帝豪比更是有明显差距！</DOC2741>

<DOC2742>	3、噪音还可以，至少不再我桑塔纳3000之下。</DOC2742>

<DOC2750>	可以其他的车型做一下比较,他的外观、空间、安全性、操纵性能等总之这款多功能车毕竟能成为MPV领域最受欢迎的销售排行榜冠军。</DOC2750>

<DOC2753>	总结:1、君威太重和大，比320重100多公斤。</DOC2753>

<DOC2757>	现在的307的内饰要比旧款的好。</DOC2757>

<DOC2772>	这款车和奥拓车有点近似，有两个款式，厂家在两个款式的价格有点倒挂，一款是三缸水冷，排量870，扭矩为27.7/5500nm/min,四档变速器，价格为49000万元，另外一款为四缸水冷，排量一样都是870，因为多了一个缸，所以扭矩增大了，为30.4/5200nm/min,价格为41500万元。</DOC2772>

<DOC2776>	捷达的底盘技术（悬架、车身）确是落后，但就其发动机及相应的电子设备来说与其它品牌相比并不落后，有些方面还有优势，这就是为何它能继续生存的原因。</DOC2776>

<DOC2779>	总言而之,就目前的车型而言,买2.4二驱的我认为PALADIN最好,2.4四驱的猎豹不错,2.4全时四驱的欧兰德不错(肯定费油),3.0手动的可以选开拓者.</DOC2779>

<DOC2794>	今天帮人提了新动力舒适，和偶的04新贵有很大差别。</DOC2794>

<DOC2797>	蓝鸟2.0曾经利用很高的配置卖的比雅阁2.0还贵，还有索纳塔2.0也是。</DOC2797>

<DOC2799>	新飞度的综合性能甚至比POLO、马自达2这些新一代A0级车都逊色。</DOC2799>

<DOC2813>	关门声音比上海大众新出的什么“朗逸＂要好听多了。</DOC2813>

<DOC2815>	但是我觉得空间不如阁瑞斯大，阁瑞斯车身比较大气豪华点，因为阁瑞斯车身近2吨，相比之下风行比较省油。</DOC2815>

<DOC2824>	新睿亿又那么贵,性价比已经非常差,与新君威比真的没优势,喜欢运动型的大概都会跑去新君威,纯家用的其他选择就更多了,再不降价,估计要走下坡路了.</DOC2824>

<DOC2840>	众所周知：别克凯越的油耗是比较高的，但自动档福美来的油耗要高于别克凯越，你说这车能买吗？</DOC2840>

<DOC2847>	前部比老中华漂亮多了，老中华那对前大灯堪称天下第一奇丑！</DOC2847>

<DOC2848>	空间比GL8大，后两排坐椅很宽敞。</DOC2848>

<DOC2850>	起步加速比我以前开的旗云CVT慢多了。</DOC2850>

<DOC2861>	虽然与皇冠相比配置底一点价格高一点!</DOC2861>

<DOC2862>	与九代思域乞丐版比，配置基本一样，价钱少2万，基本就是H标的价钱。</DOC2862>

<DOC2863>	另外，瑞风车配件比风行的贵，也不好买，和韩国人合作容易受政策等因素的影响，而风行的国产化率较高，没有这个问题。</DOC2863>

<DOC2865>	车屁股有人说不好看,我感觉还可以,总比307的好看吧!</DOC2865>

<DOC2886>	功率和车速没什么提高，与现存的同类车型没什么区别和创新，还要价这么贵，你当老百姓都是傻子？</DOC2886>

<DOC2896>	想必于老款奥迪A6，新款车里面的空间更宽大了，乘坐比较舒适。</DOC2896>

<DOC2900>	车怠速静音和凯越一样好，驾驶舒服，性能不错，外观大气，另类，配置全，但唯一让我觉得不舒服的是中控台设计的太让我不满意了，也是我放弃他的重大理由。</DOC2900>

<DOC2926>	好些人都开过这2辆车，觉得从驾驶的稳定性来看，别克要比奥迪好很多；</DOC2926>

<DOC2930>	整体感觉比桑塔纳2000强不少。</DOC2930>

<DOC2941>	自动空调在15.98万的凯越1.8自动舒适型作为了选装组件，而精英级则将其定为标配，精英级的倒车雷达也比凯越想得更加周到。</DOC2941>

<DOC2944>	二是该车的性能要高于别的车型，价位虽然有有别的网友不赞成，但是车的质量在这摆这了，“老三样”之一，三是各项的性能我认为要比其他车型好，但样子来说有点老，可你开车是图样子？</DOC2944>

<DOC2950>	外观，说实话，我觉得只能比捷达好看点，可能是因为我是个年轻人，比较喜欢伊兰特和凯越的外形。</DOC2950>

<DOC2952>	但是、这次红旗旗舰的外观设计还不如红旗世纪星看的舒服。</DOC2952>

<DOC2970>	CITY是和我一个办公室的女同事的车，以前常坐她车出去办事，空调燥音确实是小过宝来，没那么吵，不过制冷效果和速度绝不比宝来快。</DOC2970>

<DOC2972>	而在天津出的配置还没有人家的好，却要１８万，这有多大的降价空间呀！</DOC2972>

<DOC2984>	噪音也比蓝鸟小，后排乘坐更是没法比！</DOC2984>

<DOC2985>	但我没对比过,同君威2.5比,M6_2.0差一点,但不明显,***都是好路况,而且不在同一天,可能不准!</DOC2985>

<DOC2991>	油耗方面，市区开空调，AT的车也能开到11-13个油左右，跟广本、帕萨特差不多或好点，明显比君威节油。</DOC2991>

<DOC2994>	高速稳定性比君威3.0好,方向盘在转弯后可以自动回转,君威方向盘自动回转不佳。</DOC2994>

<DOC2995>	但宝来操控的准确与到位，也是307不可比的。</DOC2995>

<DOC3014>	1、新宝来1.6L自动时尚型11.98万我个人比较看好新宝来的，虽然都说品质不如老宝来，但是毕竟是一汽的车，安全性应该没有什么问题吧！</DOC3014>

<DOC3015>	现在红旗卓越的配置也比中华好，还是V6发动机，我可真不知道这中华还能不能卖得动，看来只有等死了。</DOC3015>

<DOC3019>	君威3.0音响明显优于帕萨特１．８Ｔ手自一体.</DOC3019>

<DOC3026>	我喜欢宝宝,因为它有张有弛,想快不输给很多高档车,想省油也不输给小排量车!</DOC3026>

<DOC3029>	但是中国的汽车市场发展到今天，已经不是一辆桑塔纳可以独步武林的时候了，新车层出不穷，新车的设计、配置和质量与老车不可同日而语，这时候的捷达，如果再拿皮实来形容就显得非常不合时宜了。</DOC3029>

<DOC3036>	本人看过美人豹，所有的国产车外部、内饰都不及美人豹。</DOC3036>

<DOC3040>	2.0的自动变速箱改成了直排形挡位，并增加了S(运动)挡，与2.3的梯形挡位相比，显得简单了一些，并且取消了手动换挡模式，少了很多驾驶乐趣。</DOC3040>

<DOC3043>	5，昨晚去测胎压，店主说这个石桥的轮胎很耐磨，比马牌的还贵不少。</DOC3043>

<DOC3047>	aodi是真的太不象话了,说质量,不比日系车好.</DOC3047>

<DOC3060>	新宝来要比老款宝来时尚许多。</DOC3060>

<DOC3061>	平心而论，在两款车型之间，金杯阁瑞斯拥有纯正丰田血统、对舒适商务的拿捏恰到好处，因此尊贵但不奢华；而风行略降一些。</DOC3061>

<DOC3062>	总体水平明显超越桑塔纳2000、3000。</DOC3062>

<DOC3065>	捷达的线簌是进口的，价格是国产的三倍，所以线路很少出问题。</DOC3065>

<DOC3073>	五、TT的全国保有量少，配件只有4S店有卖，会修的人少，且配件价格有垄断，所以相对夏利高点；</DOC3073>

<DOC3074>	隔音、内饰做工不如帕萨特。</DOC3074>

<DOC3078>	排挡太涩，和高尔夫差远了。</DOC3078>

<DOC3079>	我感觉这款机加速性能比1.0什要好的多,换挡非常容易,但是加速时感觉发机声音较大,方向盘抖动大,起步时方向较重.</DOC3079>

<DOC3086>	看了夏利的幸福使者，车外观比较漂亮，车门比7131好关多了，不用使劲摔。</DOC3086>

<DOC3089>	伊车外观漂亮，大方，价格和捷达一样，配置比捷达先进100倍！！！</DOC3089>

<DOC3091>	与北美版相比，国产蓝鸟配置上差距较大。</DOC3091>

<DOC3102>	看得到的部分做的很好，可看不到的部分例如底盘的质量比台湾还粗糙N倍！</DOC3102>

<DOC3113>	实际上,买1.8顶配的凯越和依兰特绝对不如加点钱买丰田花冠.</DOC3113>

<DOC3121>	它的空间比凯越,伊兰特大，做工，外观比它们漂亮．</DOC3121>

<DOC3125>	相比国产宝马荣御皇冠天籁而言，奥迪A6L拥有一张不可多得的王牌----价格。</DOC3125>

<DOC3127>	207CC跑车在外形上要比206CC更大一些。</DOC3127>

<DOC3136>	就我个人感觉来说，比桑三千要强多了。</DOC3136>

<DOC3139>	感受不是很强烈，简单说说吧昨天，周六，试驾了迈腾2.0t和新君威2.0t感觉两车加速性能差不多，一脚油门到底，mt的强推背感有点延迟的感觉，大约0.5s吧，起步还是蛮温柔的。</DOC3139>

<DOC3150>	两车配置不同，前一款增加了ABS和安全气囊，这个是后一款车所没有的，ABS有不小的作用，但是安全气囊呢？</DOC3150>

<DOC3156>	呵呵,别笑话俺,没开过啥高级跑车,感觉比平常开过的同级别的轿车要强一截!</DOC3156>

<DOC3158>	我发现2.0T发电机比V62.4发电机要好!</DOC3158>

<DOC3162>	内饰比不上ＴＴ，但比吉利、夏利要好。</DOC3162>

<DOC3163>	在发动机技术方面，新飞度同新雅阁一样。</DOC3163>

<DOC3167>	隔音比我另一辆沃尔沃80好多了。</DOC3167>

<DOC3171>	夏利N3确实丑了一点，感觉不太好，价格也高了一点，不过质量比美日要好一点。</DOC3171>

<DOC3174>	逍客的被动安全配置(安全气囊)是比CR-V2.0自排的好多了。</DOC3174>

<DOC3183>	看来中华价格还是合理，原因是本来就比那些合资车强。</DOC3183>

<DOC3210>	7通用的售后服务肯定比神龙富康/东风雪铁龙更好;</DOC3210>

<DOC3212>	内饰比我现在开的8万块的福美来还差劲。</DOC3212>

<DOC3216>	我们部门领导是PASSAT1.8T，没少开那车，空调比宝宝强不少，燥音一样。</DOC3216>

<DOC3222>	但车相当有劲，提速极爽，发动机噪音在3000转以前甚至比A62.4还低。</DOC3222>

<DOC3226>	207CC跑车的动力系统也较206CC更加强劲。</DOC3226>

<DOC3231>	现在老款捷达已经与新捷达没有多少差价了，估计老捷达还会降3000――5000元，即CIX8.88万元,GIX9.38万元/Ati9.98万元。</DOC3231>

<DOC3236>	排量不如奥拓（这车更是垃圾、是猪如车）中国人多垃圾也多！！！</DOC3236>

<DOC3237>	加速性能明显的高于丰田8A发动机。</DOC3237>

<DOC3241>	和同价位的车相比，提速不错。</DOC3241>

<DOC3245>	处在７９８００元这个价格的车档次都比伙伴高！</DOC3245>

<DOC3263>	音响效果比我的车好。</DOC3263>

<DOC3272>	凯越与同级别车相比，油耗稍高。</DOC3272>

<DOC3273>	这个价格比同级别合资品牌至少要低2万元之多。</DOC3273>

<DOC3275>	奇瑞A1的ACTECO发动机和标致206的ETEC发动机、马自达2的MZR发动机相比，毫不逊色。</DOC3275>

<DOC3281>	它与日本本土生产的花冠在外形以及车身尺寸上都略有区别。</DOC3281>

<DOC3282>	内部空间组合丰富前后两排的乘坐感觉与北斗星几乎一样，但前排似乎要略低一些，驾驶感觉更加接近开轿车，后排较高——剧院式的座椅布置确实是解决腿部空间不足的良药。</DOC3282>

<DOC3287>	价格依然高于相同配置的其他品牌的汽车……</DOC3287>

<DOC3305>	车好与不好谁买谁知道，谁用谁清楚，假如种奥拓来比，新奥拓比派喜强多了！</DOC3305>

<DOC3309>	和合资品牌相比，奇瑞A1的配置非常丰富。</DOC3309>

<DOC3311>	如果他和JEEP2500比较，唯一的优势是省油，但同时的虐势是质量中下等`无配置可言`噪音烦人`非专业越野底盘`品牌低下（江铃是生产货车的厂家），比较之下，虐势尽现。</DOC3311>

<DOC3327>	它的动力比试车的1.6好很多。</DOC3327>

<DOC3331>	车辆在4s店停了将近一个月后，终于修好了，期间我一直用自己的私车干公事，我的车价格比捷达低—乐驰，车龄比捷达老—2年，但是身体比捷达硬朗得多。</DOC3331>

<DOC3333>	发动机声音不大，但隔离风噪胎噪共振的效果就相当差了，同事的日系车咱就不比了，克鲁兹比不过，世嘉比不过，8W多的赛拉图咱比不过，竟然连6W多的福美来都比不过啊。</DOC3333>

<DOC3350>	车体大，安全系数高，性价比超越新3样。</DOC3350>

<DOC3356>	而且四缸机的空调明显不如三缸。</DOC3356>

<DOC3362>	性能两车不相上下,配置同档次相比赛纳占优;</DOC3362>

<DOC3366>	安全性：比想象中结实，我不可能去试气囊，但其他都看过试过，和德美车比是没得比的了，比一般日产本田的还是厚实一点；</DOC3366>

<DOC3370>	伊车外观漂亮，大方，价格和捷达一样，配置比捷达先进100倍！</DOC3370>

<DOC3371>	逍客的2.0L发动机与东风日产轩逸的别无二致。</DOC3371>

<DOC3374>	捷达和同时代的众多微面，如天津大发、华丽、松花江、长安、五菱，和夏利、桑塔纳等相比，无疑是皮实的。</DOC3374>

<DOC3381>	三四万的价格差异简直太正常了，感觉世纪星更贵，买车关键是值不值！</DOC3381>

<DOC3390>	与其它2.0的SUV和轿车对比，这个油耗已经相当低了。</DOC3390>

<DOC3392>	目前已有500KG，感觉：1、整体操控性能比老款优秀；</DOC3392>

<DOC3396>	伊兰特等6、7种车但都没有中华动力强劲。</DOC3396>

<DOC3408>	新款Nubira着重扩展了内部空间，使其成为同级车中最宽敞的选择。</DOC3408>

<DOC3409>	新宝来的做工及选材可以说是中规中矩，虽然和师兄们相比略有差距，但对于一款10万左右的车来说，我们也不能苛求的太多了。</DOC3409>

<DOC3418>	马自达62.0的刹车性能很好，时速100公里到静止的刹车距离只有39米，达到了中型车中非常优秀的水平，而且刹车初段的预紧非常好，刹车的安全感似乎比2.3还强，给人的信心很足。</DOC3418>

<DOC3423>	说实话，在2003年M62.3豪华型投产后的半年内，在这几样车当中，M6的性价比是最高的，它的技术是与世界同步的，且当时的进口件率在85%以上，并在当年末被评为中国年度车。</DOC3423>

<DOC3445>	花冠和阳光的内饰我都仔细看过，说实话，内饰方面阳光比花冠强多了！</DOC3445>

<DOC3462>	另外，风行的底盘比瑞风要高一点，也就是说，稳定性就差一点。</DOC3462>

<DOC3464>	我买的是05款CIF性能我觉得很好，提速快，这么说1.6升的行列里，低速扭矩别的车还不是它的对手，另一方面，它的配件很多，我家附近一家维修厂经理说。</DOC3464>

<DOC3471>	856公里开下来觉得回头率挺高的，自己感觉也不错.百公里油耗在6.6-7.5之间，比老普桑还省一点,噪音也小。</DOC3471>

<DOC3474>	四、1.8T油耗低很多，前驱车的故障率和维护费也也四驱车低很多。</DOC3474>

<DOC3476>	207cc的内饰明显要比207豪华许多。</DOC3476>

<DOC3482>	这车的后排空间和帕萨特差不多。</DOC3482>

<DOC3490>	放在一起外型比帕萨特，君威都要好！</DOC3490>

<DOC3511>	我们还有一哥们儿开雅格，燥音小，制冷效果好，比宝来的空调是要强出不少的。</DOC3511>

<DOC3519>	A520装备了奇瑞自己研发的2.0引擎，令人欣喜的是，这台引擎的表现相当不错，加速迅捷而有力，个人感受它比捷达有劲儿。</DOC3519>

<DOC3536>	36万，其2：配件和维修费要高出PASSAT60%，《我在上汽和一汽维修站考察过》其3：6缸车动力和平顺性要比4缸机强得多，多个蜗轮增压要加近2万元，不值。</DOC3536>

<DOC3538>	奥德赛的最高车速和加速能力都在GL8之上。</DOC3538>

<DOC3542>	高速性能逊于20v。</DOC3542>

<DOC3550>	8.48w,8.18w的和原323的动力是不一样的,说一样的是在骗你.</DOC3550>

<DOC3563>	乘坐比奥托、吉利、夏利空间都大，特别是后座没有曲腿的感觉。</DOC3563>

<DOC3564>	宝来的1.8T发动机只不过动力更强一点,但它的寿命短!</DOC3564>

<DOC3570>	为什么国产车一出就说价格贵怎么的，我看至少不比悦动福瑞迪的韩国车差！</DOC3570>

<DOC3574>	首保后与首保前一样，其实有的时候我们感觉有区别其实很大程度上是心理作用。</DOC3574>

<DOC3585>	油耗上还基本可以，市内11-12，市外8-9，比自动波少一点。</DOC3585>

<DOC3606>	中控台的质感太差了，完全没有豪华感，和原来几万元的海狮没多大区别。</DOC3606>

<DOC3609>	是的，我的中华车也一样，操控性确实比帕萨特好。</DOC3609>

<DOC3613>	广本思迪、奇瑞A5、新爱丽舍这些车的空间都比不上悦动！</DOC3613>

<DOC3616>	骏捷和F3的性能也比A3好。</DOC3616>

<DOC3619>	索纳塔或者远舰不如新中华。</DOC3619>

<DOC3628>	新飞度在振动噪音控制方面比老飞度差远了。</DOC3628>

<DOC3631>	幸福使者VS北斗星我以为北斗星比幸福使者强一些。</DOC3631>

<DOC3638>	中华高速公路上彼帕沙特要好，不信去亲身体验一下。。。</DOC3638>

<DOC3641>	前面像马6的新美日,坐着还是夏利的感觉.</DOC3641>

<DOC3642>	宝马320开起来就面多了（320比别的2.0的车还好的很多只是和325比面点）。</DOC3642>

<DOC3643>	05款千里马跟05款千里马相差较大。</DOC3643>

<DOC3644>	捷达与威乐比差远了，不值！</DOC3644>

<DOC3645>	而凯越的发动机、变速箱来自不同厂商，协调性不敌福美来。</DOC3645>

<DOC3655>	2日本发动机较欧美省油，经常跑长途会经济些；</DOC3655>

<DOC3663>	朗逸和大多数德系车一样，外观和内饰以沉稳、传统为主调。</DOC3663>

<DOC3666>	相比郎逸，新凯越的细节处理让人看着舒服，用着放心。</DOC3666>

<DOC3667>	不知大家发现没有,被碰过的捷达变形程度比其它车大的多.</DOC3667>

<DOC3673>	陆风的内饰还不如长城的“赛铃”，连扶手箱都没有，选装件太少。</DOC3673>

<DOC3685>	大家也知道05款的宝来和04款甚至03款相比，在配置上都进行了缩水，期望以抬高价格来提升自己中高档车形象的做法，相信国内的消费者是很难认可的。</DOC3685>

<DOC3686>	日系车的安全性不如美系车。</DOC3686>

<DOC3690>	b、肉饰质量要高，不能看起来比飞度还差。</DOC3690>

<DOC3704>	操控性能不如马自达。</DOC3704>

<DOC3709>	试驾的历程是5公里，一路上都没有特别的地方让我感受特拉卡的动力，不过还是能感受到他和城市SUV的不同，动力比长城要好，起步加速都表现的很出色，有点动如脱兔的感觉。</DOC3709>

<DOC3718>	这个性能已经与普通2.4的其他车子差不过或超过了。</DOC3718>

<DOC3735>	发动机的嗓门比起新车的时候大多了。</DOC3735>

<DOC3743>	阁瑞斯算是有代表性的产品，车的整体水平还不如金杯海狮。</DOC3743>

<DOC3751>	派力奥是中国家用轿车的杰出代表，在许多大城市有“大奔小派”之说（买大车选奔驰，买小车选派力奥），该车不仅外形时尚，科技含量高，而且质量可靠，已成为中国轿车市场口碑最好的品牌之一。</DOC3751>

<DOC3765>	花冠的质量比宝来和307好得多,外观也大方得多,目前,价格与宝来和307差不多,甚至稍低,绝对物有所值,大众的车在欧美质量排名已经垫低了,法国车小毛病多是公认的,丰田车的品质有口皆卑,始终在北美质量评比中稳列前三名,另外,宝来太短,307太丑.</DOC3765>

<DOC3774>	遗撼1铁皮真的比过去的化油器捷达簿了很多，车重还有没有1105kg我看悬！</DOC3774>

<DOC3783>	客观地说，奥迪既不是垃圾也不能和宝马、奔驰的品牌同日而语；</DOC3783>

<DOC3787>	这款207的外观内饰与206已截然不同。</DOC3787>

<DOC3796>	与同价位的车子比较，驾驶座椅和方向盘的调整功能少；车内噪音较大；内饰确实不够精细；无天窗；关于车辆的稳定控制等方面有利于行车操控的功能较少；空调不是自动控制的。</DOC3796>

<DOC3801>	从2005年3月开始在北美销售，据大众公司介绍，2005款捷达的车身设计比上一代加大了车身尺寸，保留了一贯的外型风格、技术特点。</DOC3801>

<DOC3831>	318i领先是合成皮，并不是所谓真皮，但在4s店仔细与5系、7系的真皮座椅比对，以我的眼力没看出（感觉出）什么差别（5、7系车主不要拍砖啊）。</DOC3831>

<DOC3832>	十、从购买价格讲，夏利N349800元，TTF248900元，价格差不多，仅从一次购买费用和驾驶感觉看当然TT好；</DOC3832>

<DOC3839>	总体来看，金杯阁瑞斯在动力、环保方面比其风行都略胜一筹。</DOC3839>

<DOC3842>	最好是与其他品牌的2.0比较,不要同M6-2.3比较,那没法比,价钱也差远了.</DOC3842>

<DOC3843>	该车外形看似和美国的林肯车外形接近。</DOC3843>

<DOC3846>	真的太累了，而且方向盘偏重，还不如金杯面包好使唤！</DOC3846>

<DOC3849>	我觉得前脸比老捷达要难看，嘴又宽又短的，象撅嘴。</DOC3849>

<DOC3850>	再说点爽的地方，底盘功夫确实可以，悬挂设定比小三柔韧，小三的悬挂是死硬，行程又偏长，过不平的路面，小三开快点就有起飞的感觉，总之是很没安全感的，而就稳定的多。</DOC3850>

<DOC3867>	吉利在内饰方面比夏利要人性化许多，比如后座的头枕，夏利却没有，其实这个根本就不会增加多少成本，但是夏利厂家却不愿意配置，我的那个朋友也正是因为这个原因选择了吉利的，因为他每周要带上妻子孩子去一趟200公里外的父母家，而吉利的后座头枕设计让他感受了该车的实用性。</DOC3867>

<DOC3874>	中的车顶是按风动力学设计的，风阻全国最低，所以省油。</DOC3874>

<DOC3876>	维修比QQ还便宜。</DOC3876>

<DOC3882>	如本田雅阁2.4与大众帕萨特1.8T同档次，在国际市场售价低25%。</DOC3882>

<DOC3886>	但从性价比上看开拓者4.3是24万左右中最好的SUV了.</DOC3886>

<DOC3887>	差不多就想到这些吧，没开过什么好车，感觉速腾操控不错，但前驱的毛病都有，刹车也不行，可能是大众的通病，但操控与320比起来就差太多了。</DOC3887>

<DOC3890>	提速不快还不及1。4排量的富康车。</DOC3890>

<DOC3895>	六底盘设计不如中华；</DOC3895>

<DOC3899>	毕竟同样价格的宝来在空间、车型大小、配置上都敌不过日韩车型。</DOC3899>

<DOC3902>	与其他品牌发动机相比，具有超强的优势。</DOC3902>

<DOC3908>	动力还一点也不输给B600，都是一踩油门就走，车架也很好，里面能放四个座位，不讨论什么价钱，什么车厂利润，我觉得这车真的很好玩，用3万的价钱有这种性能本人觉得值~！</DOC3908>

<DOC3910>	发动机功率很大，上牌验车时一个华泰车主2.0的排量才90多,我这1.8的排量功率就100多了,他说我这是带T的比他的还强.</DOC3910>

